date,predicted,model,region
2024-01-01,0.9319701716289582,naive,HUANUCO
2024-01-08,0.9319701716289582,naive,HUANUCO
2024-01-15,0.9319701716289582,naive,HUANUCO
2024-01-22,0.9319701716289582,naive,HUANUCO
2024-01-29,0.9319701716289582,naive,HUANUCO
2024-02-05,0.9319701716289582,naive,HUANUCO
2024-02-12,0.9319701716289582,naive,HUANUCO
2024-02-19,0.9319701716289582,naive,HUANUCO
2024-02-26,0.9319701716289582,naive,HUANUCO
2024-03-04,0.9319701716289582,naive,HUANUCO
2024-03-11,0.9319701716289582,naive,HUANUCO
2024-03-18,0.9319701716289582,naive,HUANUCO
2024-03-25,0.9319701716289582,naive,HUANUCO
2024-04-01,0.9319701716289582,naive,HUANUCO
2024-04-08,0.9319701716289582,naive,HUANUCO
2024-04-15,0.9319701716289582,naive,HUANUCO
2024-04-22,0.9319701716289582,naive,HUANUCO
2024-04-29,0.9319701716289582,naive,HUANUCO
2024-05-06,0.9319701716289582,naive,HUANUCO
2024-05-13,0.9319701716289582,naive,HUANUCO
2024-05-20,0.9319701716289582,naive,HUANUCO
2024-05-27,0.9319701716289582,naive,HUANUCO
2024-06-03,0.9319701716289582,naive,HUANUCO
2024-06-10,0.9319701716289582,naive,HUANUCO
2024-06-17,0.9319701716289582,naive,HUANUCO
2024-06-24,0.9319701716289582,naive,HUANUCO
2024-07-01,0.9319701716289582,naive,HUANUCO
2024-07-08,0.9319701716289582,naive,HUANUCO
2024-07-15,0.9319701716289582,naive,HUANUCO
2024-07-22,0.9319701716289582,naive,HUANUCO
2024-07-29,0.9319701716289582,naive,HUANUCO
2024-08-05,0.9319701716289582,naive,HUANUCO
2024-08-12,0.9319701716289582,naive,HUANUCO
2024-08-19,0.9319701716289582,naive,HUANUCO
2024-08-26,0.9319701716289582,naive,HUANUCO
2024-09-02,0.9319701716289582,naive,HUANUCO
2024-09-09,0.9319701716289582,naive,HUANUCO
2024-09-16,0.9319701716289582,naive,HUANUCO
2024-09-23,0.9319701716289582,naive,HUANUCO
2024-09-30,0.9319701716289582,naive,HUANUCO
2024-10-07,0.9319701716289582,naive,HUANUCO
2024-10-14,0.9319701716289582,naive,HUANUCO
2024-10-21,0.9319701716289582,naive,HUANUCO
2024-10-28,0.9319701716289582,naive,HUANUCO
2024-11-04,0.9319701716289582,naive,HUANUCO
2024-11-11,0.9319701716289582,naive,HUANUCO
2024-11-18,0.9319701716289582,naive,HUANUCO
2024-11-25,0.9319701716289582,naive,HUANUCO
2024-12-02,0.9319701716289582,naive,HUANUCO
2024-12-09,0.9319701716289582,naive,HUANUCO
2024-12-16,0.9319701716289582,naive,HUANUCO
2024-12-23,0.9319701716289582,naive,HUANUCO
2024-01-01,1.1058601942362243,seasonal_naive,HUANUCO
2024-01-08,0.8863812712059397,seasonal_naive,HUANUCO
